"TenCoSo","SoGiayPhep","DiaChi","NgayCap","TinhTrang","TenHinhThuc","SoCCHN_NDD"
"Phòng khám chuyên khoa Da liễu","04776/SYT-GPHĐ","229 Nhật Tảo, Phường 8, Quận 10, TP Hồ Chí Minh","2015-08-20 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Da liễu","000070/HCM-CCHN"
"Phòng khám chuyên khoa Mắt","01087/SYT-GPHĐ","121 Trường Chinh, Phường 12, Quận Tân Bình, TP Hồ Chí Minh","2013-12-16 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Mắt","000075/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","03372/SYT-GPHĐ","239+241 Thống Nhất, Phường 11, Quận Gò Vấp, TP Hồ Chí Minh","2014-08-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000081/ĐNAI-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt ","04002/SYT-GPHĐ","511 Lê Đức Thọ, Phường 16, Quận Gò Vấp, TP Hồ Chí Minh","2014-11-11 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000093/LĐ-CCHN"
"Phòng khám Nội tổng hợp ","01836/SYT-GPHĐ","30/2 Huỳnh Tấn Phát, KP5, T.T.Nhà Bè , Huyện Nhà Bè, TP Hồ Chí Minh","2014-03-18 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000006/HCM-CCHN"
"PHÒNG KHÁM CHUYÊN KHOA SẢN PHỤ KHOA ","02258/SYT-GPHĐ","76 Đường 46, KP 4, Phường Bình Trưng Đông, Quận 2, TP Hồ Chí Minh","2014-04-21 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000009/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","00515/SYT-GPHĐ","78C12 Phạm Ngũ Lão, Phường 3, Quận Gò Vấp, TP Hồ Chí Minh","2013-10-24 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000011/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","01695/HCM-GPHĐ","9BC Trần Quý Cáp, Phường 12, Quận Bình Thạnh, TP Hồ Chí Minh","2017-09-21 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","000012/HCM-CCHN"
"Phòng khám chuyên khoa Phẫu thuật thẩm mỹ","04212/SYT-GPHĐ","Toàn bộ tầng trệt, lửng, lầu 2, lầu 4-5, số 69-69A Đường 3- 2, Phường 11, Quận 10, TP Hồ Chí Minh","2015-01-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Phẫu thuật thẩm mỹ","0001017/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","04275/SYT-GPHĐ","13 Đống Đa, Phường 2, Quận Tân Bình, TP Hồ Chí Minh","2015-02-10 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000106/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00750/SYT-GPHĐ","631 Lạc Long Quân, Phường 10, Quận Tân Bình, TP Hồ Chí Minh","2013-11-29 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000111/HCM-CCHN"
"Phòng khám chuyên khoa Nội thần kinh","01402/SYT-GPHĐ","21U Cư xá Phú Lâm D, Phường 10, Quận 6, TP Hồ Chí Minh","2014-02-11 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nội thần kinh","000095/HCM-CCHN"
"Phòng khám chuyên khoa Mắt","02390/SYT-GPHĐ","78 Dương Đình Nghệ, Phường 8, Quận 11, TP Hồ Chí Minh","2014-04-22 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Mắt","000097/HCM-CCHN"
"Phòng chẩn trị y học cổ truyền","03169/SYT-GPHĐ","2/6F Nguyễn Thị Sóc, Ấp Hưng Lân, Xã Bà Điểm , Huyện Hóc Môn, TP Hồ Chí Minh","2014-07-24 00:00:00","Đang hoạt động","Phòng chẩn trị y học cổ truyền","0000980/TNI-CCHN"
"Phòng khám chuyên khoa Nhi","00077/SYT-GPHĐ","3093 Phạm Thế Hiển, Phường 7, Quận 8, TP Hồ Chí Minh","2013-04-26 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","000116/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","01050/SYT-GPHĐ","25/8 Lê Văn Thọ, Phường 8, Quận Gò Vấp, TP Hồ Chí Minh","2013-12-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000043/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00053/SYT-GPHĐ","151Bis Trần Quang Khải, Phường Tân Định, Quận 1, TP Hồ Chí Minh","2013-03-14 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000045/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","04488/SYT-GPHĐ","15 Trần Trọng Cung, Khu phố 1, Phường Tân Thuận Đông, Quận 7, TP Hồ Chí Minh","2015-05-08 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","0000456/HCM-CCHN"
"PHÒNG KHÁM CHUYÊN KHOA RĂNG HÀM MẶT ","04726/HCM-GPHĐ","92 Đặng Nguyên Cẩn, Phường 13, Quận 6, TP Hồ Chí Minh","2017-04-26 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000124/HCM-CCHN"
"Phòng chẩn trị Y học cổ truyền ( thuộc Công ty cổ phần Dịch vụ khách sạn Sa Vi)","03976","274 Cộng Hòa, Phường 13, Quận Tân Bình, TP Hồ Chí Minh","2014-11-14 00:00:00","Đang hoạt động","Phòng chẩn trị y học cổ truyền","000126/BTH-CCHN"
"Cơ sở dịch vụ làm răng giả","03288/SYT-GPHĐ","206 Vạn Kiếp, Phường 3, Quận Bình Thạnh, TP Hồ Chí Minh","2014-08-13 00:00:00","Đang hoạt động","Cơ sở dịch vụ làm răng giả","0001408/TG-CCHN"
"Phòng khám Nội tổng hợp","00596/SYT-GPHĐ","369 Lê Hồng Phong, Phường 2, Quận 10, TP Hồ Chí Minh","2013-11-05 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000150/HCM-CCHN"
"Phòng khám Nội tổng hợp ","00690/SYT-GPHĐ","55 Phạm Văn Chí, Phường 1, Quận 6, TP Hồ Chí Minh","2013-11-25 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000117/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00754/SYT-GPHĐ","Số 150/26B Nguyễn Trãi, Phường Bến Thành, Quận 1, TP Hồ Chí Minh","2013-11-29 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000120/HCM-CCHN"
"Phòng khám Nội tổng hợp","03410/SYT-GPHĐ","491/19 Nguyễn Đình Chiểu, Phường 2, Quận 3, TP Hồ Chí Minh","2014-09-24 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","0001284/BYT-CCHN"
"Phòng khám chuyên khoa Sản Phụ khoa ","02065/SYT-GPHĐ","273 Đường số 29, Khu phố 1, Phường Bình Trị Đông B , Quận Bình Tân, TP Hồ Chí Minh","2014-04-17 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000132/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","04710/SYT-GPHĐ","297/37 Lê Đức Thọ, Phường 17, Quận Gò Vấp, TP Hồ Chí Minh","2015-08-04 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000056/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","01292/SYT-GPHĐ","502/11/29 Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, TP Hồ Chí Minh","2014-02-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000061/HCM-CCHN"
"Phòng khám Nội tổng hợp","01457/SYT-GPHĐ","61/11 Lê Văn Lương, Phường Tân Kiểng, Quận 7, TP Hồ Chí Minh","2014-02-12 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000071/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","04956/SYT-GPHĐ","145 Phạm Hữu Lầu, KP2, Phường Phú Mỹ, Quận 7, TP Hồ Chí Minh","2015-10-29 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000087/HCM-CCHN"
"Phòng khám Nội tổng hợp","00756/SYT-GPHĐ","009 Lô A Chung cư - Tôn Thất Thuyết, Phường 4, Quận 4, TP Hồ Chí Minh","2013-11-29 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000157/HCM-CCHN"
"PHÒNG KHÁM NỘI TỔNG HỢP ","01906/SYT-GPHĐ","78/4 Ấp 1, Xã Hiệp Phước, Huyện Nhà Bè, TP Hồ Chí Minh","2014-04-17 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000180/HCM-CCHN"
"Phòng khám chuyên khoa Mắt","04648/SYT-GPHĐ","1127 Phan Văn Trị, Phường 10, Quận Gò Vấp, TP Hồ Chí Minh","2015-07-07 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Mắt","000183/BYT-CCHN"
"PHÒNG KHÁM NỘI TỔNG HỢP","00241/SYT-GPHĐ","61 Đường số 5 Khu C Bông Sao, Phường 5, Quận 8, TP Hồ Chí Minh","2015-05-29 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000134/HCM-CCHN"
"Phòng khám chuyên khoa Ngoại niệu","01967/SYT-GPHĐ","Số 3 Nguyễn Thị Rư, Tổ 7, KP7, T.T.Củ Chi , Huyện Củ Chi, TP Hồ Chí Minh","2014-03-24 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Ngoại niệu","000135/HCM-CCHN"
"Công ty TNHH Nha khoa Elite thuộc Công ty TNHH Nha Khoa Elite","00005/SYT-GPHĐ","57A Trần Quốc Thảo, Phường 7, Quận 3, TP Hồ Chí Minh","2015-05-22 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000151/HCM-CCHN"
"Phòng khám đa khoa thuộc Công ty Cổ phần Victoria Healthcare Mỹ Mỹ","01347/SYT-GPHĐ","135A Nguyễn Văn Trỗi, Phường 12, Quận Phú Nhuận, TP Hồ Chí Minh","2013-12-25 00:00:00","Đang hoạt động","Phòng khám đa khoa","003816/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","01071/SYT-GPHĐ","13C Hưng Phú, Phường 9, Quận 8, TP Hồ Chí Minh","2015-08-04 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000096/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","04132/SYT-GPHĐ","362/7 Nguyễn Đình Chiểu, Phường 4, Quận 3, TP Hồ Chí Minh","2014-12-08 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","0000975/HCM-CCHN"
"Phòng khám chuyên khoa Phẫu thuật thẩm mỹ","00132/SYT-GPHĐ","189 Huỳnh Văn Bánh, Phường 12, Quận Phú Nhuận, TP Hồ Chí Minh","2013-06-05 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Phẫu thuật thẩm mỹ","000101/BYT-CCHN"
"None","01661/SYT-GPHĐ","861/64 Trần Xuân Soạn, P.Tân Hưng, Quận 7, TP.Hồ Chí Minh","2014-02-20 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000165/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","00172/SYT-GPHĐ","57/4 Nguyễn Tuân, Phường 3, Quận Gò Vấp, TP Hồ Chí Minh","2013-07-09 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","000166/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00224/SYT-GPHĐ","142 Bình Quới, Phường 27, Quận Bình Thạnh, TP Hồ Chí Minh","2013-08-08 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000167/HCM-CCHN"
"Phòng khám chuyên khoa Răng hàm mặt thuộc Công ty Cổ phần Chăm sóc sức khỏe Amy","00202/SYT-GPHĐ","166B Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, TP Hồ Chí Minh","2013-07-24 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000170/ĐNAI-CCHN"
"Phòng khám Nội tổng hợp","00070/SYT-GPHĐ","98 Đường số 3, Phường 9, Quận Gò Vấp, TP Hồ Chí Minh","2013-04-17 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000183/HCM-CCHN"
"Phòng khám Nội tổng hợp","02038/SYT-GPHĐ","101 Phù Đổng Thiên Vương, Phường 11, Quận 5, TP Hồ Chí Minh","2014-03-24 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000184/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","04608/SYT-GPHĐ","450 Nơ Trang Long, Phường 13, Quận Bình Thạnh, TP Hồ Chí Minh","2015-06-29 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000185/NT-CCHN"
"Phòng khám Nội tổng hợp","00121/SYT-GPHĐ","416 Tôn Đản, Phường 4, Quận 4, TP Hồ Chí Minh","2013-05-24 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000188/HCM-CCHN"
"Chi nhánh Công ty Cổ phần Bệnh viện đa khoa Quốc tế Hạnh Phúc","00345/SYT-GPHĐ","Lầu 2, Tòa nhà Belco số 97 Nguyễn Thị Minh Khai, Phường Bến Thành, Quận 1, TP Hồ Chí Minh","2013-09-30 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","000103/HCM-CCHN"
"Phòng khám chuyên khoa Nhi","02259/SYT-GPHĐ","202 Lô G Chung cư Đồng Diều, Phường 4, Quận 8, TP Hồ Chí Minh","2014-04-21 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nhi","000122/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00612/SYT-GPHĐ","361 Quốc lộ 22, Tổ 3, Ấp Thượng, Xã Tân Thông Hội, Huyện Củ Chi, TP Hồ Chí Minh","2013-11-08 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000174/HCM-CCHN"
"Phòng khám chuyên khoa Chấn thương chỉnh hình","03316/SYT-GPHĐ","24/2 Đoàn Thị Điểm, Phường 1, Quận Phú Nhuận, TP Hồ Chí Minh","2015-07-31 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Chấn thương chỉnh hình ","000178/HCM-CCHN"
"Phòng xét nghiệm thuộc Công ty TNHH Y khoa Đức Việt Úc","04570","3 Tăng Bạt Hổ, Phường 12, Quận 5, TP Hồ Chí Minh","2015-06-29 00:00:00","Đang hoạt động","Phòng xét nghiệm","000181/HCM-CCHN"
"Phòng khám chuyên khoa Nội tim mạch","03758/SYT-GPHĐ","162 Nguyễn Thiện Thuật, Phường 3, Quận 3, TP Hồ Chí Minh","2014-10-29 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nội Tim mạch","0001831/HCM-CCHN"
"Phòng chẩn trị y học cổ truyền thuộc Công ty TNHH Một thành viên Y học cổ truyền Thiên Long","04942/SYT-GPHĐ","13 Cửu Long, Phường 2, Quận Tân Bình, TP Hồ Chí Minh","2015-10-26 00:00:00","Đang hoạt động","Phòng chẩn trị y học cổ truyền","000196/BD-CCHN"
"Phòng xét nghiệm ","01565","39 Sư Vạn Hạnh, Phường 3, Quận 10, TP Hồ Chí Minh","2015-07-13 00:00:00","Đang hoạt động","Phòng xét nghiệm","000207/HCM-CCHN"
"Phòng khám chuyên khoa Sản Phụ khoa","01569/SYT-GPHĐ","526 Bà Hạt, Phường 8, Quận 10, TP Hồ Chí Minh","2014-02-13 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000209/HCM-CCHN"
"Phòng khám Nội tổng hợp","00201/SYT-GPHĐ","221/18 Phan Văn Khỏe, Phường 5, Quận 6, TP Hồ Chí Minh","2013-07-24 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000218/HCM-CCHN"
"Phòng khám đa khoa thuộc Công ty TNHH Phòng khám đa khoa Thiên Phúc","04664/SYT-GPHĐ","83 Lê Văn Việt, Phường Hiệp Phú, Quận 9, TP Hồ Chí Minh","2015-07-09 00:00:00","Đang hoạt động","Phòng khám đa khoa","000139/HCM-CCHN"
"Phòng khám chuyên khoa Nội Tim mạch","03532/SYT-GPHĐ","107 Lê Quốc Hưng, Phường 12, Quận 4, TP Hồ Chí Minh","2014-10-23 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Nội Tim mạch","0001424/BYT-CCHN"
"PHÒNG KHÁM CHUYÊN KHOA RĂNG HÀM MẶT ","04325/SYT-GPHĐ","412D Lê Văn Sỹ, Phường 2, Quận Tân Bình, TP Hồ Chí Minh","2015-03-04 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000153/ĐNAI-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00611/SYT-GPHĐ","167 Trần Huy Liệu, Phường 8, Quận Phú Nhuận, TP Hồ Chí Minh","2013-11-08 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000224/HCM-CCHN"
"None","00186/SYT-GPHĐ","15/3 Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TP.Hồ Chí Minh","2013-07-09 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000227/HCM-CCHN"
"Phòng khám Nội tổng hợp","00025/SYT-GPHĐ","101 Trần Hữu Trang, Phường 10, Quận Phú Nhuận, TP Hồ Chí Minh","2013-01-22 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000229/HCM-CCHN"
"Phòng khám Nội tổng hợp","00200/SYT-GPHĐ","46 Đường số 1 - KDC Lý Chiêu Hoàng, Khu phố 6, Phường An lạc , Quận Bình Tân, TP Hồ Chí Minh","2016-10-10 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","000230/HCM-CCHN"
"Phòng Chẩn trị Y học cổ truyền ","04606/SYT-GPHĐ","145 Hoa Lan, Phường 2, Quận Phú Nhuận, TP Hồ Chí Minh","2015-06-23 00:00:00","Đang hoạt động","Phòng chẩn trị y học cổ truyền","000186/QT-CCHN"
"Phòng khám chuyên khoa Phục hồi chức năng","03458/SYT-GPHĐ","343/1C Tô Hiến Thành, Phường 12, Quận 10, TP Hồ Chí Minh","2014-09-22 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Phục hồi chức năng","000193/BYT-CCHN"
"Phòng khám chuyên khoa Phục hồi chức năng thuộc chi nhánh Công ty TNHH Phát triển Y tế Gia Đình","00450/SYT-GPHĐ","10 Trần Phú, Phường 4, Quận 5, TP Hồ Chí Minh","2015-08-20 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Phục hồi chức năng","000194/BYT-CCHN"
"Công ty TNHH Phẫu thuật thẩm mỹ Mắt Ngọc","00009/SYT-GPHĐ","246-248-250 Lý Thái Tổ, Phường 1, Quận 3, TP.Hồ Chí Minh","2015-06-29 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Phẫu thuật thẩm mỹ","000195/HCM-CCHN"
"Phòng khám chuyên khoa Sản Phụ khoa","02652/SYT-GPHĐ","316-318 Tùng Thiện Vương, Phường 13, Quận 8, TP Hồ Chí Minh","2014-05-08 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000172/HCM-CCHN"
"Phòng khám chuyên khoa Tai Mũi Họng","01567/SYT-GPHĐ","330/12 Phan Đình Phùng, Phường 1, Quận Phú Nhuận, TP Hồ Chí Minh","2014-02-17 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Tai Mũi Họng","000175/HCM-CCHN"
"Phòng khám chuyên khoa Chấn thương chỉnh hình","02165/SYT-GPHĐ","40/9 Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, TP Hồ Chí Minh","2014-04-17 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Chấn thương chỉnh hình ","000196/HCM-CCHN"
"Phòng khám chuyên khoa Da liễu","00024/SYT-GPHĐ","42 Hoàng Văn Thụ, Phường 9, Quận Phú Nhuận, TP Hồ Chí Minh","2013-01-22 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Da liễu","000199/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","00344/SYT-GPHĐ","142 Lê Đức Thọ, Phường 6, Quận Gò Vấp, TP Hồ Chí Minh","2013-09-30 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000205/HCM-CCHN"
"Phòng khám chuyên khoa Da liễu","01940/SYT-GPHĐ","213 Âu Cơ, Phường 5, Quận 11, TP Hồ Chí Minh","2014-03-19 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Da liễu","000206/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt (thuộc Công ty TNHH Nha khoa Sky)","03474/HCM-GPHĐ","375-377 Nguyễn Thái BÌnh, Phường 12, Quận Tân Bình, TP Hồ Chí Minh","2017-07-31 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","000211/HCM-CCHN"
"Phòng khám Nội tổng hợp","03580/SYT-GPHĐ","63/13 Pasteur, Phường Bến Nghé, Quận 1, TP Hồ Chí Minh","2014-10-23 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","0002117/BYT-CCHN"
"Phòng chẩn trị y học cổ truyền","04080/SYT-GPHĐ","551/5/2 Bến Phú Lâm, Phường 9, Quận 6, TP Hồ Chí Minh","2014-11-25 00:00:00","Đang hoạt động","Phòng chẩn trị y học cổ truyền","0002094/HCM-CCHN"
"Phòng khám Nội tổng hợp","03402/SYT-GPHĐ","311 Hậu Giang, Phường 5, Quận 6, TP Hồ Chí Minh","2014-09-24 00:00:00","Đang hoạt động","Phòng khám Nội tổng hợp","0002128/HCM-CCHN"
"Phòng khám chuyên khoa Sản phụ khoa","04316/SYT-GPHĐ","134/40 Đoàn Văn Bơ, Phường 9, Quận 4, TP Hồ Chí Minh","2015-03-04 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000214/HCM-CCHN"
"Phòng khám chuyên khoa Sản Phụ khoa ","01429/SYT-GPHĐ","208 Trần Bình Trọng, Phường 4, Quận 5, TP Hồ Chí Minh","2014-02-12 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000216/HCM-CCHN"
"Phòng khám chuyên khoa Sản Phụ khoa","03088/SYT-GPHĐ","194 Phan Văn Hớn, Tổ 67, KP 6, Phường Tân Thới Nhất, Quận 12, TP Hồ Chí Minh","2014-07-14 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Sản phụ khoa","000237/HCM-CCHN"
"Phòng khám chuyên khoa Răng Hàm Mặt","03934/SYT-GPHĐ","74B Bạch Đằng, Phường 2, Quận Tân Bình, TP Hồ Chí Minh","2014-10-31 00:00:00","Đang hoạt động","Phòng khám chuyên khoa Răng Hàm Mặt","0002372/GL-CCHN"
